trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
86,0,86,0,10,132.23233829200035,132.23233829200035,0.017911250000906875,[-0.4488888888888889],[-0.32222222222222224],[1],[0],[0],[1.1988444999988133],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
87,0,87,0,10,133.4520527500008,133.4520527500008,0.01800470799935283,[-0.02],[0.14888888888888888],[1],[0],[0],[1.278984667000259],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
88,0,88,0,10,134.75110091700117,134.75110091700117,0.017700290998618584,[-0.20222222222222222],[0.12444444444444444],[1],[0],[0],[1.0131600409986277],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
89,0,89,0,10,135.78448666700024,135.78448666700024,0.017584584000360337,[0.1511111111111111],[-0.19666666666666666],[1],[0],[0],[1.2478015830001823],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
90,0,90,0,10,137.0529169170004,137.0529169170004,0.01791645800039987,[-0.25],[-0.4266666666666667],[1],[0],[0],[1.3452752909997798],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
91,0,91,0,10,138.417955334,138.417955334,0.01763020799990045,[-0.013333333333333334],[-0.08777777777777777],[1],[0],[0],[1.2554949170007603],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
92,0,92,0,5,139.6828346250004,139.6828346250004,0.009415167000042857,[-0.31222222222222223],[-0.4633333333333333],[1],[0],[0],[1.1768958749999001],[],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
93,0,93,0,10,140.88242750000063,140.88242750000063,0.01772749999872758,[-0.043333333333333335],[-0.058888888888888886],[1],[0],[0],[1.0746107080012735],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
94,0,94,0,10,141.9768345420016,141.9768345420016,0.017422750001060194,[-0.4722222222222222],[0.2544444444444444],[1],[0],[0],[1.413840250001158],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
95,0,95,0,5,143.40047200000117,143.40047200000117,0.009762124998815125,[-0.06666666666666667],[0.4777777777777778],[1],[0],[0],[1.6087564160006878],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
96,0,96,0,10,145.0327538750007,145.0327538750007,0.018116834000466042,[0.33555555555555555],[0.014444444444444444],[1],[0],[0],[1.7318711250009073],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
97,0,97,0,5,146.7744495420011,146.7744495420011,0.009895959001369192,[-0.4988888888888889],[-0.3288888888888889],[1],[0],[0],[1.4010406249999505],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
98,0,98,0,10,148.1986283340011,148.1986283340011,0.017782208999051363,[0.3244444444444444],[-0.14],[1],[0],[0],[1.1668259580001177],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
99,0,99,0,5,149.3755957500016,149.3755957500016,0.01003866699829814,[-0.38222222222222224],[-0.38555555555555554],[1],[0],[0],[1.267925792000824],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
100,0,100,0,10,150.66660904200035,150.66660904200035,0.018419124999127234,[0.4477777777777778],[-0.3488888888888889],[1],[0],[0],[1.3980594170006952],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
101,0,101,0,10,152.08507454200117,152.08507454200117,0.018001209000431118,[-0.32],[0.2222222222222222],[1],[0],[0],[2.488944040998831],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
102,0,102,0,5,154.58369766700162,154.58369766700162,0.009519917000943678,[0.3566666666666667],[0.3566666666666667],[1],[0],[0],[1.5091230409998388],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
